"UK_ID","NENDO","ANKEN_RIREKI_ID","THEME_NO","UK_APR","UK_MAY","UK_JUN","UK_JUL","UK_AUG","UK_SEP","UK_OCT","UK_NOV","UK_DEC","UK_JAN","UK_FEB","UK_MAR","UK_KAMIKI","UK_SHIMOKI","UK_TOTAL"
"1","2017","1","25401-5900","0","0","398000","0","0","0","0","0","0","0","0","0","398000","0","398000"
"2","2017","2","25401-5900","0","0","1000000","0","0","0","0","0","0","0","0","0","1000000","0","1000000"
"3","2017","3","25401-5634","0","0","603000","0","0","0","0","0","0","0","0","0","603000","0","603000"
"4","2017","4",,"0","0","0","0","0","0","0","0","0","0","0","1398000","0","1398000","1398000"
"5","2017","5","25401-5611","0","0","580000","0","0","0","0","0","0","0","0","0","580000","0","580000"
"6","2017","6","25401-4548","0","0","0","0","0","4042000","0","0","0","0","0","0","4042000","0","4042000"
"7","2017","7",,"0","0","0","0","0","0","0","0","0","0","0","4005000","0","4005000","4005000"
"8","2017","8",,"0","0","0","0","0","0","0","0","0","0","0","855000","0","855000","855000"
"9","2017","9","25401-5533","0","0","1400000","0","0","0","0","0","0","0","0","0","1400000","0","1400000"
"10","2017","10","25401-5533","0","0","174000","0","0","0","0","0","0","0","0","0","174000","0","174000"
"11","2017","11","25401-5604","0","0","3000000","0","0","0","0","0","0","0","0","0","3000000","0","3000000"
"12","2017","12","25401-5604","0","0","5064000","0","0","0","0","0","0","0","0","0","5064000","0","5064000"
"13","2017","13","25401-5604","0","0","1400000","0","0","0","0","0","0","0","0","0","1400000","0","1400000"
"14","2017","14","25401-5604","0","0","5000000","0","0","0","0","0","0","0","0","0","5000000","0","5000000"
"15","2017","15",,"0","0","0","0","0","10000000","0","0","0","0","0","0","10000000","0","10000000"
"16","2017","16","25401-5604","0","0","4700000","0","0","0","0","0","0","0","0","0","4700000","0","4700000"
"17","2017","17","25401-5604","0","0","1950000","0","0","0","0","0","0","0","0","0","1950000","0","1950000"
"18","2017","18","25401-5574","0","0","0","0","0","600000","0","0","0","0","0","0","600000","0","600000"
"19","2017","19","25401-5574","0","0","0","0","0","461000","0","0","0","0","0","0","461000","0","461000"
"20","2017","20","25401-5872","0","2800000","0","0","0","0","0","0","0","0","0","0","2800000","0","2800000"
"21","2017","21",,"0","0","0","0","0","300000","0","0","0","0","0","0","300000","0","300000"
"22","2017","22","25401-5286","0","0","1430000","0","0","0","0","0","0","0","0","0","1430000","0","1430000"
"23","2017","23",,"0","0","0","0","0","2000000","0","0","0","0","0","0","2000000","0","2000000"
"24","2017","24","25401-5316","0","0","4250000","0","0","0","0","0","0","0","0","0","4250000","0","4250000"
"25","2017","25","25401-5317","0","0","0","0","0","611000","0","0","0","0","0","0","611000","0","611000"
"26","2017","26","25401-5317","0","0","0","0","0","1377000","0","0","0","0","0","0","1377000","0","1377000"
"27","2017","27","25401-5317","0","0","0","0","0","821000","0","0","0","0","0","0","821000","0","821000"
"28","2017","28","25701-0130","150000","150000","150000","150000","150000","150000","150000","150000","150000","150000","150000","150000","900000","900000","1800000"
"29","2017","29","25701-0210","217000","217000","217000","217000","217000","215000","0","0","0","0","0","0","1300000","0","1300000"
"30","2017","30","25701-0180","50000","50000","50000","50000","50000","50000","0","0","0","0","0","0","300000","0","300000"
"31","2017","31","25701-0220","100000","100000","100000","100000","100000","100000","0","0","0","0","0","0","600000","0","600000"
"32","2017","32","25401-5891","0","0","2658000","0","0","0","0","0","0","0","0","0","2658000","0","2658000"
"33","2017","33","25401-5634","0","0","1065000","0","0","0","0","0","0","0","0","0","1065000","0","1065000"
"34","2017","34","25401-5980","0","0","720000","0","0","0","0","0","0","0","0","0","720000","0","720000"
"35","2017","35","25401-5772","0","0","1942000","0","0","0","0","0","0","0","0","0","1942000","0","1942000"
"36","2017","36",,"0","0","0","0","0","9000000","0","0","0","0","0","0","9000000","0","9000000"
